City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Codrington,AU,-38.2667,141.9667,61.9,84,100,12.77,light rain
122,Tiksi,RU,71.6872,128.8694,27.81,83,76,15.95,broken clouds
123,Chokurdakh,RU,70.6333,147.9167,26.71,92,100,7.94,overcast clouds
124,Pisco,PE,-13.7,-76.2167,62.02,88,0,17.27,clear sky
125,Umm Kaddadah,SD,13.6017,26.6876,83.16,23,39,10.13,scattered clouds
126,Muhos,FI,64.808,25.9931,45.9,88,84,7.63,broken clouds
127,Pevek,RU,69.7008,170.3133,25.66,85,96,19.73,overcast clouds
128,Touros,BR,-5.1989,-35.4608,76.1,83,8,12.19,clear sky
129,Roma,US,43.2128,-75.4557,63.88,89,28,1.01,scattered clouds
130,Hasaki,JP,35.7333,140.8333,79.2,66,0,12.93,clear sky
131,Ponta Do Sol,PT,32.6667,-17.1,72.72,78,0,1.72,clear sky
132,Amol,IR,36.4696,52.3507,65.05,83,100,3.18,overcast clouds
133,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,20.71,scattered clouds
134,Quarai,BR,-30.3875,-56.4514,64.92,83,96,11.01,moderate rain
135,Kattivakkam,IN,13.2167,80.3167,82.49,78,49,10.31,scattered clouds
136,Sitka,US,57.0531,-135.33,44.49,70,90,10.36,light rain
137,Manaure,CO,11.7751,-72.4445,84.92,68,99,18.45,overcast clouds
138,Mackay,AU,-21.15,149.2,94.68,54,1,16.11,clear sky
139,Rawson,AR,-43.3002,-65.1023,45.01,47,4,10.07,clear sky
140,Claresholm,CA,50.0333,-113.5852,62.51,25,100,20.71,overcast clouds
141,Lamar,US,33.6668,-95.5836,76.35,91,1,0.0,clear sky
142,Castro,BR,-24.7911,-50.0119,60.33,97,100,4.21,moderate rain
143,Vardo,NO,70.3705,31.1107,48.34,84,100,26.02,overcast clouds
144,Tonj,SS,7.2737,28.6822,69.37,98,100,4.63,overcast clouds
145,Port Elizabeth,ZA,-33.918,25.5701,50.09,81,20,13.8,few clouds
146,Vila,PT,42.0304,-8.1588,52.74,95,100,7.09,light rain
147,Nueva Gerona,CU,21.8833,-82.8,82.36,69,31,12.33,scattered clouds
148,Kahului,US,20.8947,-156.47,87.82,69,40,26.46,scattered clouds
149,Nagtipunan,PH,16.2167,121.6,84.96,69,65,4.45,broken clouds
150,Saldanha,ZA,-33.0117,17.9442,44.65,67,74,12.62,broken clouds
151,Samarai,PG,-10.6167,150.6667,82.98,73,12,8.19,few clouds
152,Avera,US,33.194,-82.5271,71.11,58,99,2.93,overcast clouds
153,Dunedin,NZ,-45.8742,170.5036,52.81,80,100,5.01,moderate rain
154,Evensk,RU,61.95,159.2333,38.41,94,97,8.93,overcast clouds
155,Rosarito,MX,32.3333,-117.0333,85.68,50,99,2.42,overcast clouds
156,Kozhva,RU,65.1073,57.0459,30.79,82,25,3.42,scattered clouds
157,Khatanga,RU,71.9667,102.5,18.77,94,68,1.95,broken clouds
158,Asau,RO,46.4333,26.4,41.76,90,0,2.15,clear sky
159,Pyapon,MM,16.2833,95.6833,80.76,87,100,1.5,overcast clouds
160,Cabo San Lucas,MX,22.8909,-109.9124,82.51,77,100,8.25,overcast clouds
161,Tiebissou,CI,7.1574,-5.2257,75.45,98,100,2.35,overcast clouds
162,Khovu-Aksy,RU,51.1333,93.6,28.0,88,98,7.61,light snow
163,Yellowknife,CA,62.456,-114.3525,48.42,99,75,12.66,light rain
164,Pochutla,MX,15.7432,-96.4661,81.45,90,63,3.04,broken clouds
165,Huntsville,US,34.7304,-86.5861,74.39,85,90,1.99,overcast clouds
166,Saskylakh,RU,71.9167,114.0833,23.32,95,96,6.04,overcast clouds
167,Cherskiy,RU,68.75,161.3,27.07,94,100,12.12,overcast clouds
168,Geraldton,AU,-28.7667,114.6,66.61,63,90,16.11,overcast clouds
169,Bianzhuang,CN,34.8486,118.0447,80.2,76,100,10.22,overcast clouds
170,Gamba,GA,-2.65,10.0,75.42,88,100,6.46,light rain
171,Iqaluit,CA,63.7506,-68.5145,31.73,86,1,0.0,clear sky
172,Ribeira Grande,PT,38.5167,-28.7,71.56,89,95,10.36,overcast clouds
173,San-Pedro,CI,4.7485,-6.6363,75.38,92,91,4.09,overcast clouds
174,Chara,RU,56.9064,118.2631,35.91,53,9,1.77,clear sky
175,Villa Carlos Paz,AR,-31.4241,-64.4978,55.89,36,43,7.0,scattered clouds
176,Mamallapuram,IN,12.6264,80.1722,82.45,78,49,8.08,scattered clouds
177,Vilyuysk,RU,63.7553,121.6247,36.75,54,17,2.53,few clouds
178,East London,ZA,-33.0153,27.9116,53.42,60,14,17.63,few clouds
179,Tuatapere,NZ,-46.1333,167.6833,55.81,72,100,4.03,moderate rain
180,Beinamar,TD,8.6698,15.3813,72.36,88,22,4.25,few clouds
181,Goldsboro,US,35.3849,-77.9928,70.11,72,1,6.91,clear sky
182,Sangar,RU,63.9242,127.4739,35.78,65,7,2.21,clear sky
183,Andilamena,MG,-17.0167,48.5833,55.67,95,41,4.88,scattered clouds
184,Dali,CN,25.7,100.1833,67.03,78,13,4.23,few clouds
185,Yulara,AU,-25.2406,130.9889,69.64,28,0,10.36,clear sky
186,Ixtapa,MX,20.7,-105.2,76.91,90,57,2.21,broken clouds
187,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,83,0,10.36,clear sky
188,Asaba,NG,6.2006,6.7338,73.71,98,100,3.18,overcast clouds
189,Belaya Gora,RU,68.5333,146.4167,30.78,77,86,8.59,overcast clouds
190,Mount Isa,AU,-20.7333,139.5,98.37,10,1,13.8,clear sky
191,Sechura,PE,-5.5569,-80.8222,63.55,79,2,13.02,clear sky
