City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
358,Waitati,NZ,52.81,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
366,Dauphin,CA,51.94,haze,51.1494,-100.0502,Canway Inn & Suites
369,Sabaudia,IT,68.77,broken clouds,41.3003,13.0282,Oasi di Kufra
386,Bingol,TR,60.04,few clouds,38.8847,40.4939,Vali Konağı
389,Lere,NG,69.35,overcast clouds,10.387,8.5726,
391,Niksar,TR,54.88,overcast clouds,40.5917,36.9517,Nuri Park Hotel
393,Kamaishi,JP,68.95,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
410,Impfondo,CG,70.0,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
416,Namibe,AO,58.21,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
420,Areosa,PT,63.32,overcast clouds,41.7178,-8.8571,Hotel Flôr de Sal
421,Carazinho,BR,62.58,overcast clouds,-28.2839,-52.7864,San Remo Hotel
424,Plerin,FR,53.92,moderate rain,48.5425,-2.7798,Hotel Ker Izel
429,General Roca,AR,52.2,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
432,Hami,CN,51.21,overcast clouds,42.8,93.45,Laoyutang Resort
435,Northam,GB,53.65,scattered clouds,51.0333,-4.2167,Durrant House Hotel
436,Lubango,AO,57.87,few clouds,-14.9172,13.4925,Hotel Serra da Chela
439,Wladyslawowo,PL,55.94,overcast clouds,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
443,Superior,US,66.02,overcast clouds,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
452,Tonekabon,IR,64.35,overcast clouds,36.8163,50.8738,Hotel Sadra
453,Fez,MA,61.05,clear sky,34.0372,-4.9998,Hotel Mounia Fès
455,Rudbar,AF,61.79,few clouds,30.15,62.6,
459,Bethel,US,66.56,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
460,Jaguaruna,BR,67.24,overcast clouds,-28.615,-49.0256,Pousada Recanto das Flores Jaguaruna
462,Lata,PT,67.05,overcast clouds,40.1629,-8.3327,Casa Maquia
464,Raudeberg,NO,54.27,light rain,61.9875,5.1352,Nordre Silda.
467,Biga,TR,63.05,overcast clouds,40.2281,27.2422,Köşdere Otel
471,Malangali,TZ,58.21,few clouds,-8.5667,34.85,
473,Erzin,TR,63.12,clear sky,36.9559,36.2,Artemis Otel
481,Sambava,MG,67.62,scattered clouds,-14.2667,50.1667,Melrose
485,Lagoa,PT,69.69,overcast clouds,39.05,-27.9833,Casa Das Faias
491,Penzance,GB,54.61,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
